id, country, Gender, Age, Language, Nationality, PoliticalSpectrum, SocioeconomicStatus, EU, NATORussia, 
id74, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id75, Lithuania, Male, MiddleAged, Russian, Lithuanian, Center, NotApplicable, antiEU, AntiNATOProRussia, 
id76, Lithuania, Male, Young, Both, Lithuanian, Right, UpperClass, proEU, NotApplicable, 
id77, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, MiddleClass, NotApplicable, AntiNATOProRussia, 
id78, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, NotApplicable, proEU, AntiNATOProRussia, 
id79, Lithuania, Male, MiddleAged, Both, Lithuanian, NotApplicable, UpperClass, proEU, NotApplicable, 
id80, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id81, Lithuania, Male, Old, NationalLanguage, Lithuanian, Center, UpperClass, proEU, NotApplicable, 
id82, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, MiddleClass, proEU, NotApplicable, 
id83, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, MiddleClass, antiEU, NotApplicable, 
id84, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, MiddleClass, antiEU, AntiNATOProRussia, 
id85, Lithuania, Male, MiddleAged, Both, Lithuanian, NotApplicable, MiddleClass, proEU, NotApplicable, 
id86, Lithuania, Female, MiddleAged, Both, Lithuanian, Right, MiddleClass, proEU, NotApplicable, 
id87, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id88, Lithuania, Female, Old, NationalLanguage, Lithuanian, Right, UpperClass, antiEU, ProNATOAntiRussia, 
id89, Lithuania, Male, Old, NationalLanguage, Lithuanian, NotApplicable, UpperClass, antiEU, NotApplicable, 
id90, Lithuania, Male, Old, Russian, Lithuanian, Left, LowerClass, proEU, NotApplicable, 
id91, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, proEU, AntiNATOProRussia, 
id92, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, UpperClass, NotApplicable, NotApplicable, 
id93, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, UpperClass, antiEU, AntiNATOProRussia, 
id94, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, NotApplicable, proEU, AntiNATOProRussia, 
id95, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, MiddleClass, NotApplicable, NotApplicable, 
id96, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id97, Lithuania, Male, Young, Both, Lithuanian, NotApplicable, NotApplicable, proEU, NotApplicable, 
id98, Lithuania, Female, MiddleAged, NationalLanguage, Russian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id99, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, LowerClass, antiEU, AntiNATOProRussia, 
id100, Lithuania, Male, Young, NationalLanguage, Lithuanian, Left, NotApplicable, antiEU, AntiNATOProRussia, 
id101, Lithuania, Male, Old, NationalLanguage, Lithuanian, NotApplicable, NotApplicable, NotApplicable, AntiNATOProRussia, 
id102, Lithuania, Male, MiddleAged, Both, Lithuanian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id103, Lithuania, Male, Young, Russian, Lithuanian, Right, UpperClass, NotApplicable, NotApplicable, 
id104, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, UpperClass, NotApplicable, ProNATOAntiRussia, 
id105, Lithuania, Female, NotApplicable, Both, Lithuanian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id106, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id107, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, LowerClass, antiEU, AntiNATOProRussia, 
id108, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, UpperClass, antiEU, ProNATOAntiRussia, 
id109, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id110, Lithuania, Male, Young, Both, Lithuanian, NotApplicable, MiddleClass, proEU, ProNATOAntiRussia, 
id111, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, Left, NotApplicable, proEU, ProNATOAntiRussia, 
id112, Lithuania, Male, Old, NationalLanguage, Lithuanian, Right, UpperClass, NotApplicable, NotApplicable, 
id113, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, LowerClass, proEU, NotApplicable, 
id114, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, UpperClass, proEU, NotApplicable, 
id115, Lithuania, Female, Old, NationalLanguage, Lithuanian, Left, NotApplicable, antiEU, AntiNATOProRussia, 
id116, Lithuania, Male, Young, NationalLanguage, Lithuanian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id117, Lithuania, Male, Young, Both, Lithuanian, Center, UpperClass, antiEU, ProNATOAntiRussia, 
id118, Lithuania, Female, Old, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, ProNATOAntiRussia, 
id119, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, MiddleClass, antiEU, ProNATOAntiRussia, 
id120, Lithuania, Female, MiddleAged, Both, Lithuanian, NotApplicable, NotApplicable, proEU, AntiNATOProRussia, 
id121, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id122, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id123, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id124, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, proEU, NotApplicable, 
id125, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, LowerClass, proEU, AntiNATOProRussia, 
id126, Lithuania, Male, MiddleAged, Both, Lithuanian, Right, UpperClass, proEU, AntiNATOProRussia, 
id127, Lithuania, Female, Old, Both, Lithuanian, NotApplicable, UpperClass, proEU, NotApplicable, 
id128, Lithuania, Male, MiddleAged, Both, Lithuanian, Right, UpperClass, NotApplicable, ProNATOAntiRussia, 
id129, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id130, Lithuania, Male, Old, NationalLanguage, Lithuanian, Right, UpperClass, proEU, NotApplicable, 
id131, Lithuania, Female, Old, NationalLanguage, Lithuanian, Center, NotApplicable, antiEU, AntiNATOProRussia, 
id132, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, Center, MiddleClass, antiEU, NotApplicable, 
id133, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, LowerClass, antiEU, ProNATOAntiRussia, 
id134, Lithuania, Male, Old, NationalLanguage, Lithuanian, Center, MiddleClass, proEU, NotApplicable, 
id135, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, Center, UpperClass, antiEU, AntiNATOProRussia, 
id136, Lithuania, Female, Young, NationalLanguage, Lithuanian, Right, MiddleClass, proEU, NotApplicable, 
id137, Lithuania, Male, MiddleAged, Both, Lithuanian, Right, MiddleClass, NotApplicable, NotApplicable, 
id138, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, Right, NotApplicable, NotApplicable, NotApplicable, 
id139, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, LowerClass, proEU, NotApplicable, 
id140, Lithuania, Female, MiddleAged, Russian, Lithuanian, Right, LowerClass, proEU, ProNATOAntiRussia, 
id141, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, UpperClass, antiEU, ProNATOAntiRussia, 
id142, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, MiddleClass, proEU, ProNATOAntiRussia, 
id143, Lithuania, Male, MiddleAged, Both, Lithuanian, Center, LowerClass, proEU, NotApplicable, 
id144, Lithuania, Female, Old, NationalLanguage, Lithuanian, Center, NotApplicable, proEU, NotApplicable, 
id145, Lithuania, Male, Old, Both, Lithuanian, NotApplicable, MiddleClass, proEU, NotApplicable, 
id146, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, MiddleClass, proEU, NotApplicable, 
id147, Lithuania, Female, MiddleAged, Both, Belarusian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id148, Lithuania, Male, MiddleAged, Russian, Lithuanian, NotApplicable, LowerClass, proEU, AntiNATOProRussia, 
id149, Lithuania, Male, NotApplicable, Both, Lithuanian, Right, UpperClass, proEU, NotApplicable, 
id150, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, UpperClass, proEU, ProNATOAntiRussia, 
id151, Lithuania, Female, Old, Both, Lithuanian, NotApplicable, UpperClass, proEU, ProNATOAntiRussia, 
id152, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Left, NotApplicable, antiEU, NotApplicable, 
id153, Lithuania, Male, MiddleAged, Both, Lithuanian, Left, NotApplicable, antiEU, NotApplicable, 
id154, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Center, UpperClass, NotApplicable, NotApplicable, 
id155, Lithuania, Female, Young, NationalLanguage, Lithuanian, NotApplicable, NotApplicable, proEU, NotApplicable, 
id156, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Left, UpperClass, NotApplicable, AntiNATOProRussia, 
id157, Lithuania, Female, MiddleAged, Russian, Lithuanian, NotApplicable, NotApplicable, antiEU, AntiNATOProRussia, 
id158, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, UpperClass, proEU, NotApplicable, 
id159, Lithuania, Female, Old, NationalLanguage, Lithuanian, NotApplicable, UpperClass, antiEU, AntiNATOProRussia, 
id160, Lithuania, Male, Old, Both, Lithuanian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id161, Lithuania, Female, Old, NationalLanguage, Lithuanian, Right, UpperClass, proEU, NotApplicable, 
id162, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, NotApplicable, 
id163, Lithuania, Female, Old, Both, Lithuanian, Right, MiddleClass, NotApplicable, ProNATOAntiRussia, 
id164, Lithuania, Male, MiddleAged, Both, Lithuanian, Center, NotApplicable, antiEU, NotApplicable, 
id165, Lithuania, Female, Old, Russian, Lithuanian, Left, LowerClass, NotApplicable, ProNATOAntiRussia, 
id166, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, Right, MiddleClass, proEU, NotApplicable, 
id167, Lithuania, Female, Young, NationalLanguage, Lithuanian, NotApplicable, MiddleClass, proEU, ProNATOAntiRussia, 
id168, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, UpperClass, proEU, AntiNATOProRussia, 
id169, Lithuania, Female, NotApplicable, Both, Lithuanian, Right, LowerClass, NotApplicable, AntiNATOProRussia, 
id170, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, NotApplicable, NotApplicable, antiEU, AntiNATOProRussia, 
id171, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, LowerClass, proEU, AntiNATOProRussia, 
id172, Lithuania, Female, Old, NationalLanguage, Lithuanian, Right, LowerClass, NotApplicable, NotApplicable, 
id173, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, NotApplicable, 
id174, Lithuania, Female, NotApplicable, Both, Lithuanian, Center, LowerClass, antiEU, AntiNATOProRussia, 
id175, Lithuania, Female, Old, NationalLanguage, Other, Center, LowerClass, proEU, NotApplicable, 
id176, Lithuania, Male, Young, Both, Lithuanian, Left, MiddleClass, proEU, ProNATOAntiRussia, 
id177, Lithuania, Female, MiddleAged, Both, Lithuanian, Right, LowerClass, proEU, NotApplicable, 
id178, Lithuania, Male, MiddleAged, Both, Lithuanian, Center, UpperClass, antiEU, NotApplicable, 
id179, Lithuania, Male, Young, NationalLanguage, Lithuanian, Left, NotApplicable, proEU, NotApplicable, 
id180, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Center, NotApplicable, NotApplicable, NotApplicable, 
id181, Lithuania, Female, Young, Both, Lithuanian, Left, UpperClass, proEU, NotApplicable, 
id182, Lithuania, Male, MiddleAged, Both, Lithuanian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id183, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, ProNATOAntiRussia, 
id184, Lithuania, Male, NotApplicable, NationalLanguage, Lithuanian, Right, NotApplicable, proEU, AntiNATOProRussia, 
id185, Lithuania, Female, NotApplicable, Russian, Lithuanian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id186, Lithuania, Female, NotApplicable, Both, Lithuanian, Left, UpperClass, antiEU, NotApplicable, 
id187, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, NotApplicable, NotApplicable, NotApplicable, AntiNATOProRussia, 
id188, Lithuania, Female, MiddleAged, NationalLanguage, Lithuanian, Right, MiddleClass, antiEU, AntiNATOProRussia, 
id189, Lithuania, Female, NotApplicable, NationalLanguage, Lithuanian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id190, Lithuania, Male, Old, NationalLanguage, Lithuanian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id191, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, MiddleClass, antiEU, NotApplicable, 
id192, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, MiddleClass, proEU, AntiNATOProRussia, 
id193, Lithuania, Male, MiddleAged, Russian, Lithuanian, Center, LowerClass, NotApplicable, ProNATOAntiRussia, 
id194, Lithuania, Male, Old, NationalLanguage, Lithuanian, NotApplicable, LowerClass, proEU, ProNATOAntiRussia, 
id195, Lithuania, Male, NotApplicable, Both, Lithuanian, Center, NotApplicable, antiEU, NotApplicable, 
id196, Lithuania, Female, MiddleAged, Both, Lithuanian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id197, Lithuania, Male, MiddleAged, NationalLanguage, Other, NotApplicable, LowerClass, proEU, NotApplicable, 
id198, Lithuania, Female, MiddleAged, Both, Lithuanian, Left, UpperClass, proEU, AntiNATOProRussia, 
id199, Lithuania, Male, Old, Both, Lithuanian, Center, UpperClass, antiEU, ProNATOAntiRussia, 
id200, Lithuania, Male, MiddleAged, NationalLanguage, Lithuanian, Right, LowerClass, NotApplicable, AntiNATOProRussia, 
id201, Estonia, Female, Old, Both, Estonian, Right, NotApplicable, antiEU, NotApplicable, 
id202, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, NotApplicable, antiEU, AntiNATOProRussia, 
id203, Estonia, Female, MiddleAged, Both, Estonian, Right, LowerClass, NotApplicable, AntiNATOProRussia, 
id204, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Left, MiddleClass, antiEU, ProNATOAntiRussia, 
id205, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, LowerClass, proEU, NotApplicable, 
id206, Estonia, Female, MiddleAged, Russian, Estonian, Right, MiddleClass, proEU, NotApplicable, 
id207, Estonia, Female, MiddleAged, Both, Estonian, Center, NotApplicable, antiEU, AntiNATOProRussia, 
id208, Estonia, Male, MiddleAged, Russian, Estonian, NotApplicable, MiddleClass, proEU, AntiNATOProRussia, 
id209, Estonia, Male, Old, NationalLanguage, Estonian, NotApplicable, LowerClass, proEU, NotApplicable, 
id210, Estonia, Female, Old, NationalLanguage, Russian, Center, MiddleClass, proEU, NotApplicable, 
id211, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, UpperClass, proEU, AntiNATOProRussia, 
id212, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, LowerClass, antiEU, AntiNATOProRussia, 
id213, Estonia, Male, MiddleAged, NationalLanguage, Estonian, NotApplicable, LowerClass, antiEU, AntiNATOProRussia, 
id214, Estonia, Male, MiddleAged, Both, Estonian, Left, NotApplicable, proEU, NotApplicable, 
id215, Estonia, Female, Old, Russian, Estonian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id216, Estonia, Female, MiddleAged, Both, Estonian, Left, MiddleClass, antiEU, AntiNATOProRussia, 
id217, Estonia, Female, Old, Both, Estonian, Center, MiddleClass, antiEU, NotApplicable, 
id218, Estonia, Male, MiddleAged, Both, Estonian, NotApplicable, LowerClass, proEU, NotApplicable, 
id219, Estonia, Male, Young, NationalLanguage, Estonian, Right, LowerClass, antiEU, AntiNATOProRussia, 
id220, Estonia, Female, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, NotApplicable, NotApplicable, 
id221, Estonia, Male, NotApplicable, Both, Russian, Left, LowerClass, antiEU, AntiNATOProRussia, 
id222, Estonia, Female, Young, NationalLanguage, Estonian, Right, UpperClass, proEU, NotApplicable, 
id223, Estonia, Male, MiddleAged, NationalLanguage, Russian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id224, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, NotApplicable, proEU, ProNATOAntiRussia, 
id225, Estonia, Male, MiddleAged, Russian, Estonian, Center, UpperClass, proEU, AntiNATOProRussia, 
id226, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Center, UpperClass, antiEU, NotApplicable, 
id227, Estonia, Female, Young, NationalLanguage, Estonian, Right, NotApplicable, NotApplicable, ProNATOAntiRussia, 
id228, Estonia, Male, MiddleAged, Russian, Estonian, Center, LowerClass, proEU, ProNATOAntiRussia, 
id229, Estonia, Male, Old, Both, Estonian, Right, NotApplicable, NotApplicable, NotApplicable, 
id230, Estonia, Female, NotApplicable, NationalLanguage, Estonian, NotApplicable, NotApplicable, proEU, AntiNATOProRussia, 
id231, Estonia, Male, MiddleAged, NationalLanguage, Estonian, Right, LowerClass, antiEU, ProNATOAntiRussia, 
id232, Estonia, Male, MiddleAged, Both, Russian, Right, NotApplicable, antiEU, AntiNATOProRussia, 
id233, Estonia, Male, NotApplicable, Both, Estonian, Left, MiddleClass, proEU, AntiNATOProRussia, 
id234, Estonia, Male, MiddleAged, Both, Estonian, Right, NotApplicable, proEU, ProNATOAntiRussia, 
id235, Estonia, Female, MiddleAged, Both, Estonian, Right, UpperClass, NotApplicable, AntiNATOProRussia, 
id236, Estonia, Female, Old, NationalLanguage, Russian, Center, LowerClass, antiEU, ProNATOAntiRussia, 
id237, Estonia, Female, MiddleAged, Both, Estonian, Center, NotApplicable, antiEU, ProNATOAntiRussia, 
id238, Estonia, Male, MiddleAged, Russian, Estonian, Center, UpperClass, antiEU, NotApplicable, 
id239, Estonia, Male, Young, NationalLanguage, Other, Left, MiddleClass, proEU, AntiNATOProRussia, 
id240, Estonia, Male, Old, NationalLanguage, Estonian, Center, NotApplicable, proEU, AntiNATOProRussia, 
id241, Estonia, Male, Young, NationalLanguage, Estonian, Center, UpperClass, antiEU, ProNATOAntiRussia, 
id242, Estonia, Female, NotApplicable, Both, Estonian, Left, UpperClass, antiEU, ProNATOAntiRussia, 
